title,datetime_obj,raw_date_string,tickets_url,promoter,venue,genres,tier_1,tier_2,tier_3,full_description,event_card_all_text,_quality,extractionMethod,page_year_context,scrapedAt,artists,json_ld_description,json_ld_url,location
Anyma Opening Party,2025-07-08T23:00:00,2025-07-08T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625346Z,[],"Anyma Opening Party on 8 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-07-15T23:00:00,2025-07-15T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625444Z,[],"Anyma on 15 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-07-22T23:00:00,2025-07-22T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625503Z,[],"Anyma on 22 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-07-29T23:00:00,2025-07-29T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625550Z,[],"Anyma on 29 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-08-05T23:00:00,2025-08-05T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625595Z,[],"Anyma on 5 Aug 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-08-12T23:00:00,2025-08-12T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625637Z,[],"Anyma on 12 Aug 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-08-19T23:00:00,2025-08-19T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625677Z,[],"Anyma on 19 Aug 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma Closing Party,2025-08-26T23:00:00,2025-08-26T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:45.625716Z,[],"Anyma Closing Party on 26 Aug 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
[UNVRS] Opening Party,2025-05-30T23:00:00,2025-05-30T23:00,https://www.ibiza-spotlight.com/night/promoters/unvrs-opening-party,unvrs-opening-party,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:52.344948Z,[],"[UNVRS] Opening Party on 30 May 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/unvrs-opening-party,[UNVRS]
elrow Ibiza Opening Party | Nowmads New World,2025-06-07T23:30:00,2025-06-07T23:30,https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,elrow-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:47:59.335251Z,[],"elrow Ibiza Opening Party | Nowmads New World on 7 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/elrow-unvrs,[UNVRS]
