title,datetime_obj,raw_date_string,tickets_url,promoter,venue,genres,tier_1,tier_2,tier_3,full_description,event_card_all_text,_quality,extractionMethod,page_year_context,scrapedAt,artists,json_ld_description,json_ld_url,location
ANOTR On A Trip,2025-06-15T23:30:00,2025-06-15T23:30,https://www.ibiza-spotlight.com/night/promoters/anotr-unvrs,anotr-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:22.668333Z,[],"ANOTR On A Trip on 15 Jun 2025, 23:30",https://www.ibiza-spotlight.com/night/promoters/anotr-unvrs,[UNVRS]
Carl Cox Opening Party,2025-06-22T22:30:00,2025-06-22T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.925893Z,[],"Carl Cox Opening Party on 22 Jun 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-06-29T22:30:00,2025-06-29T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.925959Z,[],"Carl Cox on 29 Jun 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-07-06T22:30:00,2025-07-06T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926008Z,[],"Carl Cox on 6 Jul 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-07-13T22:30:00,2025-07-13T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926054Z,[],"Carl Cox on 13 Jul 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-07-20T22:30:00,2025-07-20T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926095Z,[],"Carl Cox on 20 Jul 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-07-27T22:30:00,2025-07-27T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926135Z,[],"Carl Cox on 27 Jul 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-08-03T22:30:00,2025-08-03T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926174Z,[],"Carl Cox on 3 Aug 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-08-10T22:30:00,2025-08-10T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926212Z,[],"Carl Cox on 10 Aug 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-08-17T22:30:00,2025-08-17T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926249Z,[],"Carl Cox on 17 Aug 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-08-24T22:30:00,2025-08-24T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926286Z,[],"Carl Cox on 24 Aug 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-08-31T22:30:00,2025-08-31T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926324Z,[],"Carl Cox on 31 Aug 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-09-07T22:30:00,2025-09-07T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926362Z,[],"Carl Cox on 7 Sept 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox,2025-09-14T22:30:00,2025-09-14T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926403Z,[],"Carl Cox on 14 Sept 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Carl Cox Closing Party,2025-09-21T22:30:00,2025-09-21T22:30,https://www.ibiza-spotlight.com/night/promoters/carl-cox,carl-cox,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:30.926450Z,[],"Carl Cox Closing Party on 21 Sept 2025, 22:30",https://www.ibiza-spotlight.com/night/promoters/carl-cox,[UNVRS]
Anyma Opening Party,2025-07-08T23:00:00,2025-07-08T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:38.622148Z,[],"Anyma Opening Party on 8 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-07-15T23:00:00,2025-07-15T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:38.622225Z,[],"Anyma on 15 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-07-22T23:00:00,2025-07-22T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:38.622287Z,[],"Anyma on 22 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-07-29T23:00:00,2025-07-29T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:38.622335Z,[],"Anyma on 29 Jul 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-08-05T23:00:00,2025-08-05T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:38.622376Z,[],"Anyma on 5 Aug 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-08-12T23:00:00,2025-08-12T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:38.622416Z,[],"Anyma on 12 Aug 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
Anyma,2025-08-19T23:00:00,2025-08-19T23:00,https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,anyma-unvrs,unvrs,[],,,,,,"{""score"": 4.0, ""completeness_metrics"": {""title_present"": true, ""date_parsed"": true, ""has_tickets_tier1"": false, ""has_genres"": false}, ""version"": ""0.2.0""}",json-ld,2025,2025-06-04T21:38:38.622463Z,[],"Anyma on 19 Aug 2025, 23:00",https://www.ibiza-spotlight.com/night/promoters/anyma-unvrs,[UNVRS]
