title,url,date,venue,description,scraped_at,extraction_method
Ibiza Spotlight Party Calendar 2 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/02,,,,2025-06-01T22:56:01.421362Z,html-dynamic
Ibiza Spotlight Party Calendar 3 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/03,,,,2025-06-01T22:56:16.461962Z,html-dynamic
Ibiza Spotlight Party Calendar 5 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/05,,,,2025-06-01T22:56:32.002018Z,html-dynamic
Ibiza Spotlight Party Calendar 2 August 2025,https://www.ibiza-spotlight.com/night/events/2025/08/02,,,,2025-06-01T22:57:32.705486Z,html-dynamic
Ibiza Spotlight Party Calendar 1 August 2025,https://www.ibiza-spotlight.com/night/events/2025/08/01,,,,2025-06-01T22:57:48.534581Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T22:58:03.461617Z,html-dynamic
Ibiza Spotlight Party Calendar 31 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/31,,,,2025-06-01T22:58:19.012973Z,html-dynamic
Ibiza Spotlight Party Calendar 29 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/29,,,,2025-06-01T22:58:34.106590Z,html-dynamic
Ibiza Spotlight Party Calendar 30 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/30,,,,2025-06-01T22:58:49.914130Z,html-dynamic
Ibiza Spotlight Party Calendar 28 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/28,,,,2025-06-01T22:59:05.175182Z,html-dynamic
Ibiza Spotlight Party Calendar 3 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/03,,,,2025-06-01T22:59:20.894225Z,html-dynamic
Ibiza Spotlight Party Calendar 3 August 2025,https://www.ibiza-spotlight.com/night/events/2025/08/03,,,,2025-06-01T22:59:37.072097Z,html-dynamic
Ibiza Spotlight Party Calendar 7 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/07,,,,2025-06-01T23:00:39.762031Z,html-dynamic
Ibiza Spotlight Party Calendar 2 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/02,,,,2025-06-01T23:00:54.951345Z,html-dynamic
Ibiza Spotlight Party Calendar 5 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/05,,,,2025-06-01T23:01:09.961427Z,html-dynamic
Ibiza Spotlight Party Calendar 6 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/06,,,,2025-06-01T23:01:25.850778Z,html-dynamic
Ibiza Spotlight Party Calendar 4 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/04,,,,2025-06-01T23:01:41.029289Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T23:01:56.445091Z,html-dynamic
Ibiza Spotlight Party Calendar 3 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/03,,,,2025-06-01T23:02:11.986152Z,html-dynamic
Ibiza Spotlight Party Calendar 1 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/01,,,,2025-06-01T23:02:27.665386Z,html-dynamic
Ibiza Spotlight Party Calendar 3 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/03,,,,2025-06-01T23:02:42.989552Z,html-dynamic
Ibiza Spotlight Party Calendar 29 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/29,,,,2025-06-01T23:03:43.780754Z,html-dynamic
Ibiza Spotlight Party Calendar 2 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/02,,,,2025-06-01T23:03:59.077152Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T23:04:14.385714Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T23:04:29.206856Z,html-dynamic
Ibiza Spotlight Party Calendar 30 September 2025,https://www.ibiza-spotlight.com/night/events/2025/09/30,,,,2025-06-01T23:04:44.395177Z,html-dynamic
Ibiza Spotlight Party Calendar 5 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/05,,,,2025-06-01T23:05:00.214252Z,html-dynamic
Ibiza Spotlight Party Calendar 1 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/01,,,,2025-06-01T23:05:14.987693Z,html-dynamic
Ibiza Spotlight Party Calendar 4 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/04,,,,2025-06-01T23:05:29.869288Z,html-dynamic
Ibiza Spotlight Party Calendar 3 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/03,,,,2025-06-01T23:05:44.868385Z,html-dynamic
Ibiza Spotlight Party Calendar 27 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/27,,,,2025-06-01T23:06:46.531535Z,html-dynamic
Ibiza Spotlight Party Calendar 1 November 2025,https://www.ibiza-spotlight.com/night/events/2025/11/01,,,,2025-06-01T23:07:02.021602Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T23:07:17.269417Z,html-dynamic
Ibiza Spotlight Party Calendar 31 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/31,,,,2025-06-01T23:07:32.445963Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T23:07:47.978362Z,html-dynamic
Ibiza Spotlight Party Calendar 29 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/29,,,,2025-06-01T23:08:01.968168Z,html-dynamic
Ibiza Spotlight Party Calendar 2 November 2025,https://www.ibiza-spotlight.com/night/events/2025/11/02,,,,2025-06-01T23:08:15.856812Z,html-dynamic
Ibiza Spotlight Party Calendar 28 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/28,,,,2025-06-01T23:08:29.677685Z,html-dynamic
Ibiza Spotlight Party Calendar 30 October 2025,https://www.ibiza-spotlight.com/night/events/2025/10/30,,,,2025-06-01T23:08:43.306171Z,html-dynamic
