title,url,date,venue,description,scraped_at,extraction_method
Ibiza Spotlight Party Calendar 27 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/27,,,,2025-06-01T22:51:25.714681Z,html-dynamic
Ibiza Spotlight Party Calendar 29 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/29,,,,2025-06-01T22:51:41.449257Z,html-dynamic
Ibiza Spotlight Party Calendar 30 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/30,,,,2025-06-01T22:51:57.111024Z,html-dynamic
Ibiza Spotlight Party Calendar 26 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/26,,,,2025-06-01T22:52:12.234033Z,html-dynamic
Ibiza Spotlight Party Calendar 1 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/01,,,,2025-06-01T22:52:27.332592Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T22:52:42.934634Z,html-dynamic
Ibiza Spotlight Party Calendar 28 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/28,,,,2025-06-01T22:52:58.360311Z,html-dynamic
Ibiza Spotlight Party Calendar 31 May 2025,https://www.ibiza-spotlight.com/night/events/2025/05/31,,,,2025-06-01T22:53:13.637229Z,html-dynamic
Ibiza Spotlight Party Calendar 3 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/03,,,,2025-06-01T22:53:28.926252Z,html-dynamic
Ibiza Spotlight Party Calendar 6 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/06,,,,2025-06-01T22:54:29.926037Z,html-dynamic
Ibiza Spotlight Party Calendar 1 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/01,,,,2025-06-01T22:54:44.997780Z,html-dynamic
Ibiza Spotlight Party Calendar 30 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/30,,,,2025-06-01T22:55:00.377505Z,html-dynamic
Ibiza Spotlight Party Calendar 3 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/03,,,,2025-06-01T22:55:15.418305Z,html-dynamic
Ibiza Spotlight Party Calendar 2 June 2025,https://www.ibiza-spotlight.com/night/events/2025/06/02,,,,2025-06-01T22:55:30.542542Z,html-dynamic
Ibiza Spotlight Party Calendar 4 July 2025,https://www.ibiza-spotlight.com/night/events/2025/07/04,,,,2025-06-01T22:55:45.736568Z,html-dynamic
